[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,8/27/2024 8:42:58 PM
BYAPP, Electrical Transport Option, Release 1.2.0 Build 0
INFO, APPNAME, ETOption, Release 1.2.0 Build 0
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3933952865.66236,390.009307861328,89999.75,,,,,,0,-0.0005488221,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66244,390.009307861328,89999.75,,,,,,0.03899587,0.0004116166,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66252,390.009307861328,89999.75,,,,,,0.07799175,-0.000720329,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.6626,390.009307861328,89999.75,,,,,,0.1169876,-0.0001372055,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66268,390.009307861328,89999.75,,,,,,0.1559835,-6.860276E-05,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66276,390.009307861328,89999.75,,,,,,0.1953185,-0.0006517263,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66284,390.009307861328,89999.75,,,,,,0.2343143,-0.0004802193,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66292,390.009307861328,89999.75,,,,,,0.2733102,-0.000891836,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.663,390.009307861328,89999.75,,,,,,0.3123061,0.0002058083,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66308,390.009307861328,89999.75,,,,,,0.351302,-0.0001715069,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66316,390.009307861328,89999.75,,,,,,0.3906369,0.0007546304,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66324,390.009307861328,89999.75,,,,,,0.4296328,6.860276E-05,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66332,390.009307861328,89999.75,,,,,,0.4686287,-0.0003087124,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.6634,390.009307861328,89999.75,,,,,,0.5076246,0,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66348,390.009307861328,89999.75,,,,,,0.5466204,0,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66356,390.009307861328,89999.75,,,,,,0.5859554,-0.0002744111,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66364,390.009307861328,89999.75,,,,,,0.6249512,0.0006860276,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66372,390.009307861328,89999.75,,,,,,0.6639471,0.0006174249,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.6638,390.009307861328,89999.75,,,,,,0.702943,0.001200548,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66388,390.009307861328,89999.75,,,,,,0.7419389,0.0003773152,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66396,390.009307861328,89999.75,,,,,,0.7812738,6.860276E-05,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66404,390.009307861328,89999.75,,,,,,0.8202697,0.0008232332,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66412,390.009307861328,89999.75,,,,,,0.8592656,0.001680768,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.6642,390.009307861328,89999.75,,,,,,0.8982615,0.001474959,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
,3933952865.66428,390.009307861328,89999.75,,,,,,0.9372573,0.0006860276,,0.98304,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,
